series,period,value,unit,available_at,source_url,provider
mkt_rf,2005,3.13,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
smb,2005,-2.45,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
hml,2005,9.36,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
rf,2005,2.98,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
mkt_rf,2006,10.57,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
smb,2006,0.12,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
hml,2006,11.71,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
rf,2006,4.80,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
mkt_rf,2007,1.07,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
smb,2007,-7.50,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
hml,2007,-16.92,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
rf,2007,4.66,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
mkt_rf,2008,-38.25,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
smb,2008,2.46,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
hml,2008,1.24,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
rf,2008,1.60,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
mkt_rf,2009,28.55,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
smb,2009,8.93,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
hml,2009,-8.22,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
rf,2009,0.10,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
mkt_rf,2010,17.32,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
smb,2010,13.87,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
hml,2010,-5.35,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
rf,2010,0.12,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
mkt_rf,2011,0.48,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
smb,2011,-5.71,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
hml,2011,-8.32,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
rf,2011,0.04,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
mkt_rf,2012,16.30,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
smb,2012,-1.22,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
hml,2012,9.91,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
rf,2012,0.06,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
mkt_rf,2013,35.16,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
smb,2013,7.64,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
hml,2013,2.54,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
rf,2013,0.02,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
mkt_rf,2014,11.74,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
smb,2014,-7.65,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
hml,2014,-1.80,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
rf,2014,0.02,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
mkt_rf,2015,0.20,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
smb,2015,-3.89,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
hml,2015,-9.53,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
rf,2015,0.02,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
mkt_rf,2016,13.36,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
smb,2016,6.54,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
hml,2016,22.81,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
rf,2016,0.20,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
mkt_rf,2017,21.50,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
smb,2017,-5.28,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
hml,2017,-13.37,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
rf,2017,0.80,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
mkt_rf,2018,-6.82,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
smb,2018,-3.18,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
hml,2018,-9.62,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
rf,2018,1.81,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
mkt_rf,2019,28.43,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
smb,2019,-6.52,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
hml,2019,-10.33,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
rf,2019,2.14,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
mkt_rf,2020,23.59,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
smb,2020,13.48,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
hml,2020,-46.94,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
rf,2020,0.44,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
mkt_rf,2021,23.87,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
smb,2021,-3.78,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
hml,2021,25.61,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
rf,2021,0.04,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
mkt_rf,2022,-21.32,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
smb,2022,-7.01,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
hml,2022,25.68,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
rf,2022,1.42,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
mkt_rf,2023,21.75,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
smb,2023,-3.53,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
hml,2023,-13.97,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
rf,2023,4.95,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
mkt_rf,2024,19.76,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
smb,2024,-11.31,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
hml,2024,-8.44,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
rf,2024,5.26,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
mkt_rf,2025,13.30,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
smb,2025,-11.01,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
hml,2025,9.23,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
rf,2025,4.25,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
